Time:1, step:64, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:64, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:65, uav_id:0, uav_pos:[206.88661766 293.89546871 100.        ], uav_lab:8
Time:1, step:65, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:65, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:65, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
Time:1, step:65, uav_id:4, uav_pos:[297.44266844 155.98388027 100.        ], uav_lab:5
Time:1, step:65, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:65, uav_id:6, uav_pos:[298.89367199 245.42780543 100.        ], uav_lab:8
Time:1, step:65, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:65, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:66, uav_id:0, uav_pos:[206.88661766 293.89546871 100.        ], uav_lab:8
Time:1, step:66, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:66, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:66, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
Time:1, step:66, uav_id:4, uav_pos:[297.44266844 155.98388027 100.        ], uav_lab:5
Time:1, step:66, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:66, uav_id:6, uav_pos:[298.89367199 245.42780543 100.        ], uav_lab:8
Time:1, step:66, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:66, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:67, uav_id:0, uav_pos:[206.88661766 293.89546871 100.        ], uav_lab:8
Time:1, step:67, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:67, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:67, uav_id:3, uav_pos:[299.85558414 148.30668283 100.        ], uav_lab:5
Time:1, step:67, uav_id:4, uav_pos:[297.44266844 155.98388027 100.        ], uav_lab:5
Time:1, step:67, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:67, uav_id:6, uav_pos:[298.89367199 245.42780543 100.        ], uav_lab:8
Time:1, step:67, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:67, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
